Lat,Long
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11052,-82.97778
40.11049150837989,-82.97779608938546
40.11030156424581,-82.9779033519553
40.11011162011173,-82.97801061452513
40.10992167597765,-82.97811787709497
40.109731731843574,-82.9782251396648
40.109541787709496,-82.97833240223464
40.10935184357542,-82.97843966480447
40.10916189944134,-82.9785469273743
40.10897195530726,-82.97865418994414
40.108793184357545,-82.97876234636871
40.108659106145254,-82.9788740782123
40.10852502793296,-82.97898581005587
40.10839094972067,-82.97909754189945
40.10825687150838,-82.97920927374302
40.10812279329609,-82.9793210055866
40.1079887150838,-82.97943273743017
40.10785463687151,-82.97954446927375
40.10772055865922,-82.97965620111732
40.107583687150836,-82.9797679329609
40.10743843575419,-82.97987966480447
40.10729318435754,-82.97999139664805
40.10714793296089,-82.98010312849162
40.10700268156424,-82.9802148603352
40.106857430167594,-82.98032659217877
40.10671217877095,-82.98043832402234
40.106566927374296,-82.98055005586592
40.10642167597765,-82.9806617877095
40.106240558659216,-82.98077083798883
40.10597575418994,-82.98087363128491
40.10571094972067,-82.980976424581
40.10544614525139,-82.9810792178771
40.10518134078212,-82.98118201117319
40.10491653631285,-82.98128480446927
40.104651731843575,-82.98138759776536
40.1043869273743,-82.98149039106146
40.104122122905025,-82.98159318435755
40.103871787709494,-82.98171474860335
40.103648324022345,-82.98187117318436
40.103424860335195,-82.98202759776537
40.103201396648046,-82.98218402234637
40.1029779329609,-82.98234044692738
40.10275446927374,-82.98249687150837
40.10253100558659,-82.98265329608938
40.10230754189944,-82.98280972067039
40.10208407821229,-82.9829661452514
40.10180832402235,-82.98313955307262
40.10145413407822,-82.98333843575419
40.10109994413408,-82.98353731843575
40.100745754189944,-82.98373620111732
40.10039156424581,-82.98393508379888
40.10003737430168,-82.98413396648044
40.09968318435754,-82.98433284916202
40.099328994413405,-82.98453173184357
40.09897480446927,-82.98473061452515
40.09866938547486,-82.98489027932962
40.09842357541899,-82.9850020111732
40.098177765363126,-82.98511374301677
40.09793195530726,-82.98522547486034
40.097686145251394,-82.98533720670392
40.09744033519553,-82.98544893854749
40.09719452513966,-82.98556067039107
40.0969487150838,-82.98567240223464
40.09670290502793,-82.98578413407822
40.09645765363129,-82.9858841340782
40.09621296089386,-82.98597240223464
40.095968268156426,-82.98606067039105
40.095723575418994,-82.98614893854749
40.09547888268156,-82.9862372067039
40.09523418994414,-82.98632547486034
40.094989497206704,-82.98641374301677
40.09474480446927,-82.98650201117319
40.09450011173184,-82.98659027932962
40.09396782122905,-82.9866625698324
40.09320022346368,-82.9867217877095
40.09243262569832,-82.9867810055866
40.09166502793296,-82.98684022346369
40.090897430167594,-82.98689944134078
40.09012983240223,-82.98695865921788
40.089362234636866,-82.98701787709497
40.088594636871505,-82.98707709497207
40.087827039106145,-82.98713631284916
40.08709094972067,-82.98713988826816
40.08637586592179,-82.98710636871509
40.0856607821229,-82.987072849162
40.08494569832402,-82.98703932960893
40.08423061452514,-82.98700581005586
40.08351553072625,-82.98697229050279
40.08280044692737,-82.98693877094972
40.08208536312849,-82.98690525139665
40.081370279329605,-82.98687173184356
40.08085854748603,-82.98688905027933
40.08045631284916,-82.98693374301675
40.08005407821229,-82.98697843575418
40.07965184357542,-82.98702312849161
40.07924960893855,-82.98706782122905
40.078847374301674,-82.98711251396648
40.0784451396648,-82.98715720670391
40.078042905027935,-82.98720189944135
40.07764067039106,-82.98724659217878
40.076795754189945,-82.98765888268157
40.075761117318436,-82.9882287150838
40.07472648044693,-82.98879854748604
40.07369184357542,-82.98936837988828
40.07265720670391,-82.98993821229051
40.07162256983241,-82.99050804469275
40.0705879329609,-82.99107787709498
40.06955329608939,-82.99164770949722
40.06851865921788,-82.99221754189945
40.06770022346369,-82.99282843575419
40.066953854748604,-82.99345301675979
40.06620748603352,-82.99407759776537
40.065461117318435,-82.99470217877095
40.06471474860335,-82.99532675977655
40.063968379888266,-82.99595134078213
40.06322201117318,-82.99657592178771
40.062475642458104,-82.9972005027933
40.06172927374302,-82.99782508379889
40.06115541899441,-82.99797055865922
40.06062469273743,-82.99799625698324
40.060093966480444,-82.99802195530727
40.05956324022346,-82.99804765363129
40.05903251396648,-82.99807335195531
40.058501787709496,-82.99809905027934
40.05797106145251,-82.99812474860336
40.05744033519553,-82.99815044692738
40.05690960893855,-82.9981761452514
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
40.05683,-82.99818
